AÑO,FECHA_SIEMBRA,VIVERO,PEDIGREE,VG,BL1,BL2,BL3,LeafScald,Flor,BrownSpot,NeckBlat,GrainDoscol
2008,4/17/2008,VIOFLARRD2008,ALEJANDRA 318,5.00,5.00,7.00,7.00,3.00,90.00,1.00,3.00,3.00
2008,4/17/2008,VIOFLARRD2008,ALEJANDRA 318,5.00,4.00,6.00,5.00,3.00,92.00,1.00,3.00,1.00
2008,4/17/2008,VIOFLARRD2008,CEYSVONI,5.00,5.00,7.00,6.00,1.00,80.00,3.00,1.00,1.00
2008,4/17/2008,VIOFLARRD2008,CEYSVONI,5.00,5.00,7.00,6.00,1.00,84.00,3.00,3.00,1.00
2008,4/17/2008,VIOFLARRD2008,FANNY,9.00,7.00,9.00,9.00,,,,,
2008,4/17/2008,VIOFLARRD2008,FANNY,9,9,9,,,,,,
2008,4/17/2008,VIOFLARRD2008,FEDEARROZ 2000,5.00,4.00,3.00,3.00,3.00,88.00,1.00,3.00,3.00
2008,4/17/2008,VIOFLARRD2008,FEDEARROZ 2000,5.00,5.00,3.00,3.00,3.00,88.00,1.00,5.00,1.00
2008,4/17/2008,VIOFLARRD2008,FEDEARROZ 50,3.00,3.00,3.00,2.00,1.00,98.00,3.00,1.00,3.00
2008,4/17/2008,VIOFLARRD2008,FEDEARROZ 50,3.00,3.00,3.00,2.00,3.00,100.00,3.00,3.00,3.00
2008,4/17/2008,VIOFLARRD2008,FL 3174,3.00,3.00,1.00,1.00,1.00,92.00,1.00,1.00,3.00
2008,4/17/2008,VIOFLARRD2008,FL 3174,3.00,3.00,1.00,1.00,3.00,94.00,1.00,1.00,3.00
2008,4/17/2008,VIOFLARRD2008,ORYZICA 1,3.00,3.00,6.00,5.00,1.00,88.00,3.00,3.00,3.00
2008,4/17/2008,VIOFLARRD2008,ORYZICA 1,3.00,4.00,6.00,5.00,1.00,90.00,3.00,3.00,3.00
2008,4/17/2008,VIOFLARRD2008,ORYZICA 1,3.00,3.00,6.00,6.00,3.00,92.00,5.00,7.00,7.00
2008,4/17/2008,VIOFLARRD2008,ORYZICA 1,3.00,5.00,7.00,6.00,3.00,94.00,3.00,5.00,3.00
2008,4/17/2008,VIOFLARRD2008,ORYZICA 1,3.00,3.00,6.00,6.00,3.00,90.00,5.00,7.00,5.00
2008,4/17/2008,VIOFLARRD2008,ORYZICA 1,3.00,3.00,5.00,5.00,3.00,92.00,5.00,7.00,5.00
2008,4/17/2008,VIOFLARRD2008,ORYZICA 1,3.00,3.00,6.00,5.00,1.00,88.00,3.00,3.00,3.00
2008,4/17/2008,VIOFLARRD2008,ORYZICA 1,3.00,4.00,5.00,5.00,1.00,90.00,3.00,3.00,1.00
2008,4/17/2008,VIOFLARRD2008,ORYZICA 1,3.00,3.00,5.00,5.00,1.00,90.00,3.00,3.00,3.00
2008,4/17/2008,VIOFLARRD2008,ORYZICA 1,3.00,4.00,5.00,5.00,1.00,94.00,3.00,3.00,3.00
2008,4/17/2008,VIOFLARRD2008,ORYZICA CARIBE 8,3.00,3.00,4.00,4.00,1.00,92.00,1.00,5.00,3.00
2008,4/17/2008,VIOFLARRD2008,ORYZICA CARIBE 8,3.00,3.00,3.00,3.00,1.00,94.00,1.00,1.00,3.00
2008,4/17/2008,VIOFLARRD2008,PROGRESO 425,3.00,3.00,5.00,5.00,3.00,88.00,3.00,3.00,1.00
2008,4/17/2008,VIOFLARRD2008,PROGRESO 425,5.00,3.00,4.00,4.00,3.00,88.00,1.00,5.00,1.00
2009,4/24/2009,VIOFLARRD2009,ALEJANDRA 318,5.00,5.00,5.00,4.00,3.00,94.00,1.00,3.00,1.00
2009,4/24/2009,VIOFLARRD2009,ELONI,5.00,3.00,3.00,2.00,1.00,104.00,1.00,1.00,3.00
2009,4/24/2009,VIOFLARRD2009,ELONI,5.00,3.00,3.00,2.00,1.00,104.00,1.00,1.00,1.00
2009,4/24/2009,VIOFLARRD2009,ELONI,5.00,3.00,2.00,2.00,1.00,104.00,3.00,1.00,1.00
2009,4/24/2009,VIOFLARRD2009,FANNY,,8,,,,,,,
2009,4/24/2009,VIOFLARRD2009,FEDEARROZ 174,3.00,2.00,3.00,3.00,1.00,96.00,1.00,1.00,1.00
2009,4/24/2009,VIOFLARRD2009,FEDEARROZ 2000,5.00,4.00,4.00,3.00,1.00,88.00,3.00,3.00,1.00
2009,4/24/2009,VIOFLARRD2009,FEDEARROZ 50,3.00,3.00,3.00,3.00,1.00,88.00,3.00,3.00,1.00
2009,4/24/2009,VIOFLARRD2009,FL 3174,3.00,3.00,3.00,3.00,3.00,98.00,1.00,1.00,1.00
2009,4/24/2009,VIOFLARRD2009,FL 3174,3.00,3.00,3.00,3.00,3.00,98.00,1.00,1.00,3.00
2009,4/24/2009,VIOFLARRD2009,FL 3174,1.00,2.00,3.00,3.00,1.00,100.00,1.00,1.00,3.00
2009,4/24/2009,VIOFLARRD2009,ORYZICA 1,3.00,6.00,6.00,6.00,3.00,90.00,3.00,5.00,5.00
2009,4/24/2009,VIOFLARRD2009,ORYZICA 1,3.00,7.00,7.00,6.00,1.00,90.00,5.00,5.00,3.00
2009,4/24/2009,VIOFLARRD2009,ORYZICA 1,3.00,5.00,6.00,6.00,3.00,90.00,3.00,3.00,5.00
2009,4/24/2009,VIOFLARRD2009,ORYZICA 1,3.00,5.00,6.00,6.00,3.00,90.00,5.00,5.00,3.00
2009,4/24/2009,VIOFLARRD2009,ORYZICA 1,3.00,5.00,6.00,6.00,1.00,92.00,5.00,5.00,3.00
2009,4/24/2009,VIOFLARRD2009,ORYZICA 1,3.00,5.00,7.00,7.00,5.00,94.00,3.00,3.00,1.00
2009,4/24/2009,VIOFLARRD2009,ORYZICA 1,3.00,6.00,7.00,7.00,1.00,88.00,5.00,3.00,3.00
2009,4/24/2009,VIOFLARRD2009,ORYZICA CARIBE 8,5.00,5.00,6.00,7.00,1.00,98.00,1.00,7.00,1.00
2009,4/24/2009,VIOFLARRD2009,PROGRESO 425,3.00,4.00,6.00,5.00,1.00,88.00,3.00,5.00,1.00
2010,4/23/2010,VIOFLARRD2010,ALEJANDRA 318,5.00,5.00,5.00,5.00,3.00,90.00,1.00,3.00,5.00
2010,4/23/2010,VIOFLARRD2010,ELONI,5.00,3.00,2.00,2.00,1.00,98.00,3.00,1.00,1.00
2010,4/23/2010,VIOFLARRD2010,ELONI,5.00,2.00,2.00,2.00,1.00,98.00,3.00,1.00,3.00
2010,4/23/2010,VIOFLARRD2010,ELONI,5.00,2.00,3.00,2.00,1.00,98.00,3.00,1.00,3.00
